,NAME_MUNICIPIO,CODE_SEF-MG,MUNICIPIO
189,LARANJEIRAS DO SUL,143,7659
190,LEOPOLIS,144,7661
191,LIDIANOPOLIS,344,5507
192,LINDOESTE,317,9959
193,LOANDA,145,7663
194,LOBATO,146,7665
195,LONDRINA,147,7667
196,LUIZIANA,318,8481
197,LUNARDELLI,148,8459
198,LUPIONOPOLIS,149,7669
199,MALLET,150,7671
200,MAMBORE,151,7673
201,MANDAGUACU,152,7675
202,MANDAGUARI,153,7677
203,MANDIRITUBA,154,7679
204,MANFRINOPOLIS,387,864
205,MANGUEIRINHA,155,7511
206,MANOEL RIBAS,156,7681
207,MARECHAL CANDIDO RONDON,157,7683
208,MARIA HELENA,158,7685
209,MARIALVA,159,7687
210,MARILANDIA DO SUL,160,7433
211,MARILENA,161,7975
212,MARILUZ,162,7689
213,MARINGA,163,7691
214,MARIOPOLIS,164,7693
215,MARIPA,345,5487
216,MARMELEIRO,165,7695
217,MARQUINHO,388,866
218,MARUMBI,166,7697
219,MATELANDIA,167,7699
220,MATINHOS,168,7963
221,MATO RICO,346,5503
222,MAUA DA SERRA,347,5459
223,MEDIANEIRA,169,7701
224,MERCEDES,348,5531
225,MIRADOR,170,7703
226,MIRASELVA,171,7705
227,MISSAL,172,8469
228,MOREIRA SALES,173,7707
229,MORRETES,174,7709
230,MUNHOZ DE MELO,175,7711
231,NOSSA SENHORA DAS GRACAS,176,7713
232,NOVA ALIANCA DO IVAI,177,7715
233,NOVA AMERICA DA COLINA,178,7717
234,NOVA AURORA,179,7965
235,NOVA CANTU,180,7719
236,NOVA ESPERANCA,181,7721
237,NOVA ESPERANCA DO SUDOESTE,349,5477
238,NOVA FATIMA,182,7723
239,NOVA LARANJEIRAS,350,5479
240,NOVA LONDRINA,183,7725
241,NOVA OLIMPIA,184,7967
242,NOVA PRATA DO IGUACU,185,7995
243,NOVA SANTA BARBARA,352,5457
244,NOVA SANTA ROSA,186,7979
245,NOVA TEBAS,319,9913
246,NOVO ITACOLOMI,353,5517
247,ORTIGUEIRA,187,7727
248,OURIZONA,188,7729
249,OURO VERDE DO OESTE,320,9965
250,PAICANDU,189,7731
251,PALMAS,190,7733
252,PALMEIRA,191,7735
253,PALMITAL,192,7737
254,PALOTINA,193,7739
255,PARAISO DO NORTE,194,7741
256,PARANACITY,195,7743
257,PARANAGUA,196,7745
258,PARANAPOEMA,197,7747
259,PARANAVAI,198,7749
260,PATO BRAGADO,354,5533
261,PATO BRANCO,199,7751
262,PAULA FREITAS,200,7753
263,PAULO FRONTIN,201,7755
264,PEABIRU,202,7757
265,PEROBAL,389,868
266,PEROLA,203,7969
267,PEROLA D'OESTE,204,7759
268,PIEN,205,7761
269,PINHAIS,324,5453
270,PINHAL DO SAO BENTO,355,5495
271,PINHALAO,206,7763
272,PINHAO,207,7765
273,PIRAI DO SUL,208,7767
274,PIRAQUARA,209,7769
275,PITANGA,210,7771
276,PITANGUEIRAS,356,5461
277,PLANALTINA DO PARANA,211,7773
278,PLANALTO,212,7775
279,PONTA GROSSA,213,7777
280,PONTAL DO PARANA,390,870
